date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-02-17,0,2025-02-17T00:00:00,2025-02-17T00:00:00,46,45,True
2025-02-17,6,2025-02-17T06:00:00,2025-02-17T06:00:00,46,45,True
2025-02-17,12,2025-02-17T12:00:00,2025-02-17T12:00:00,46,45,True
2025-02-17,18,2025-02-17T18:00:00,2025-02-17T18:00:00,46,45,True
2025-02-18,0,2025-02-18T00:00:00,2025-02-18T00:00:00,47,46,True
2025-02-18,6,2025-02-18T06:00:00,2025-02-18T06:00:00,47,46,True
2025-02-18,12,2025-02-18T12:00:00,2025-02-18T12:00:00,47,46,True
2025-02-18,18,2025-02-18T18:00:00,2025-02-18T18:00:00,47,46,True
2025-02-19,0,2025-02-19T00:00:00,2025-02-19T00:00:00,48,47,True
2025-02-19,6,2025-02-19T06:00:00,2025-02-19T06:00:00,48,47,True
2025-02-19,12,2025-02-19T12:00:00,2025-02-19T12:00:00,48,47,True
2025-02-19,18,2025-02-19T18:00:00,2025-02-19T18:00:00,48,47,True
2025-02-20,0,2025-02-20T00:00:00,2025-02-20T00:00:00,49,48,True
2025-02-20,6,2025-02-20T06:00:00,2025-02-20T06:00:00,49,48,True
2025-02-20,12,2025-02-20T12:00:00,2025-02-20T12:00:00,49,48,True
2025-02-20,18,2025-02-20T18:00:00,2025-02-20T18:00:00,49,48,True
2025-02-21,0,2025-02-21T00:00:00,2025-02-21T00:00:00,50,49,True
2025-02-21,6,2025-02-21T06:00:00,2025-02-21T06:00:00,50,49,True
2025-02-21,12,2025-02-21T12:00:00,2025-02-21T12:00:00,50,49,True
2025-02-21,18,2025-02-21T18:00:00,2025-02-21T18:00:00,50,49,True
2025-02-22,0,2025-02-22T00:00:00,2025-02-22T00:00:00,51,50,True
2025-02-22,6,2025-02-22T06:00:00,2025-02-22T06:00:00,51,50,True
2025-02-22,12,2025-02-22T12:00:00,2025-02-22T12:00:00,51,50,True
2025-02-22,18,2025-02-22T18:00:00,2025-02-22T18:00:00,51,50,True
2025-02-23,0,2025-02-23T00:00:00,2025-02-23T00:00:00,52,51,True
