strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-02,6,69,11:40-11:50,1185.32385,1091.8557333333333,-93.46811666666667,True
D,2025-01-02,6,70,11:50-12:00,1126.8655166666663,1026.6861249999997,-100.17939166666656,True
D,2025-01-02,6,71,12:00-12:10,1092.6308333333332,985.7401666666665,-106.89066666666668,True
D,2025-01-02,6,72,12:10-12:20,1118.276061111111,1009.901686111111,-108.37437499999999,True
D,2025-01-02,6,73,12:20-12:30,1092.953022222222,983.0949388888887,-109.8580833333333,True
D,2025-01-02,6,74,12:30-12:40,1033.3987666666667,922.056975,-111.34179166666672,True
D,2025-01-02,6,75,12:40-12:50,1068.055111111111,955.2296111111111,-112.82549999999992,True
D,2025-01-02,6,76,12:50-13:00,1092.0088722222222,977.6996638888888,-114.30920833333334,True
D,2025-01-02,6,77,13:00-13:10,238.45169999999985,122.65878333333319,-115.79291666666666,True
D,2025-01-02,6,93,15:40-15:50,1336.416390316593,848.5863532795586,-487.83003703703434,True
D,2025-01-02,6,94,15:50-16:00,703.8511250000003,721.950627777778,18.09950277777773,True
D,2025-01-02,6,95,16:00-16:10,760.7750000000001,774.3216666666667,13.546666666666624,True
D,2025-01-02,6,96,16:10-16:20,818.4378166666669,829.7697999999997,11.3319833333328,True
D,2025-01-02,6,97,16:20-16:30,861.7280666666661,870.8453666666667,9.117300000000569,True
D,2025-01-02,6,98,16:30-16:40,894.7191166666667,901.6217333333333,6.902616666666631,True
D,2025-01-02,6,99,16:40-16:50,936.3891500000003,941.0770833333331,4.687933333332808,True
D,2025-01-02,6,100,16:50-17:00,997.7696999999995,1000.2429500000001,2.4732500000005757,True
D,2025-01-02,6,101,17:00-17:10,1063.4982333333332,1063.7567999999999,0.2585666666666384,True
D,2025-01-02,6,102,17:10-17:20,1053.0762999999997,1053.2917722222219,0.21547222222216078,True
D,2025-01-02,6,103,17:20-17:30,1027.3488333333332,1027.521211111111,0.17237777777768315,True
D,2025-01-02,6,104,17:30-17:40,1031.3257833333332,1031.4550666666667,0.1292833333334329,True
D,2025-01-02,6,105,17:40-17:50,1076.9694166666666,1077.0556055555555,0.08618888888895526,True
D,2025-01-02,6,106,17:50-18:00,960.4476333333332,960.4907277777777,0.04309444444447763,True
D,2025-01-02,12,71,12:00-12:10,985.7401666666665,1006.9952999999998,21.255133333333333,True
D,2025-01-02,12,72,12:10-12:20,1009.901686111111,1042.9940194444443,33.092333333333386,True
D,2025-01-02,12,73,12:20-12:30,983.0949388888887,1028.0244722222221,44.92953333333344,True
D,2025-01-02,12,74,12:30-12:40,922.056975,978.8237083333335,56.76673333333349,True
D,2025-01-02,12,75,12:40-12:50,955.2296111111111,1023.8335444444444,68.60393333333332,True
D,2025-01-02,12,76,12:50-13:00,977.6996638888888,673.4860631367831,-304.2136007521058,True
D,2025-01-02,12,77,13:00-13:10,122.65878333333319,214.9371166666665,92.27833333333331,True
D,2025-01-02,12,79,13:20-13:30,0.0,62.43822499999766,62.43822499999766,True
D,2025-01-02,12,89,15:00-15:10,1261.1087499999999,1339.816733333333,78.70798333333323,True
D,2025-01-02,12,90,15:10-15:20,1360.4917583333333,1431.2426916666664,70.75093333333302,True
D,2025-01-02,12,91,15:20-15:30,1436.2767833333335,1499.0706666666665,62.79388333333304,True
D,2025-01-02,12,92,15:30-15:40,1463.2985416666663,1518.1353749999998,54.836833333333516,True
D,2025-01-02,12,93,15:40-15:50,848.5863532795586,1538.9862999999998,690.3999467204412,True
D,2025-01-02,12,94,15:50-16:00,721.950627777778,742.7738583333334,20.82323055555537,True
D,2025-01-02,12,95,16:00-16:10,774.3216666666667,791.7406833333334,17.41901666666672,True
D,2025-01-02,12,96,16:10-16:20,829.7697999999997,844.2868388888888,14.517038888889147,True
D,2025-01-02,12,97,16:20-16:30,870.8453666666667,882.4604277777775,11.615061111110776,True
D,2025-01-02,12,98,16:30-16:40,901.6217333333333,910.3348166666666,8.713083333333316,True
D,2025-01-02,12,99,16:40-16:50,941.0770833333331,946.8881888888889,5.811105555555741,True
D,2025-01-02,12,100,16:50-17:00,1000.2429500000001,1003.1520777777775,2.909127777777485,True
D,2025-01-02,12,101,17:00-17:10,1063.7567999999999,1063.76395,0.007150000000137879,True
D,2025-01-02,12,102,17:10-17:20,1053.2917722222219,1053.2977305555553,0.005958333333410337,True
D,2025-01-02,12,103,17:20-17:30,1027.521211111111,1027.5259777777776,0.004766666666682795,True
D,2025-01-02,12,104,17:30-17:40,1031.4550666666667,1031.4586416666666,0.003574999999955253,True
D,2025-01-02,12,105,17:40-17:50,1077.0556055555555,1077.0579888888888,0.0023833333332277107,True
D,2025-01-02,12,106,17:50-18:00,960.4907277777777,960.4919194444443,0.0011916666666138553,True
D,2025-01-02,18,108,18:10-18:20,529.4396887150676,543.3400720484021,13.900383333334503,True
D,2025-01-03,6,36,6:10-6:20,111.84202037037039,111.81811759259267,-0.023902777777720985,True
D,2025-01-03,6,37,6:20-6:30,934.6969648148149,934.6491592592594,-0.04780555555555566,True
D,2025-01-03,6,38,6:30-6:40,917.0638814814814,916.9921731481481,-0.07170833333327664,True
D,2025-01-03,6,39,6:40-6:50,908.7051185185185,908.6095074074074,-0.09561111111111131,True
D,2025-01-03,6,40,6:50-7:00,911.1911388888889,911.0716249999999,-0.11951388888894598,True
D,2025-01-03,6,41,7:0-7:10,917.9592444444445,917.8158277777778,-0.14341666666666697,True
D,2025-01-03,6,42,7:10-7:20,881.207211111111,880.2600555555555,-0.9471555555554687,True
D,2025-01-03,6,43,7:20-7:30,1039.1094462962942,1037.3585518518498,-1.7508944444443841,True
D,2025-01-03,6,44,7:30-7:40,1630.8086722222222,1628.2540388888888,-2.5546333333334132,True
D,2025-01-03,6,45,7:40-7:50,1520.7481259259257,1517.3897537037037,-3.3583722222219876,True
D,2025-01-03,6,46,7:50-8:00,758.5545037037039,754.3923925925927,-4.16211111111113,True
D,2025-01-03,6,47,8:00-8:10,119.3697666666668,114.40391666666687,-4.965849999999932,True
D,2025-01-03,6,48,8:10-8:20,122.28640555555558,110.86654999999996,-11.419855555555614,True
D,2025-01-03,6,49,8:20-8:30,35.34674999999993,17.472888888888974,-17.873861111110955,True
D,2025-01-03,6,57,9:40-9:50,511.69286111111137,453.48506666666685,-58.20779444444452,True
D,2025-01-03,6,58,9:50-10:00,284.83617297432704,0.0,-284.83617297432704,True
D,2025-01-03,6,62,10:30-10:40,355.0002685185186,12.160208159509352,-342.84006035900927,True
D,2025-01-03,6,65,11:00-11:10,1103.0045277777779,1067.763861111111,-35.24066666666681,True
D,2025-01-03,6,66,11:10-11:20,1065.8833833333333,1033.431911111111,-32.451472222222264,True
D,2025-01-03,6,67,11:20-11:30,1045.701624074074,1016.0393462962963,-29.662277777777717,True
D,2025-01-03,6,68,11:30-11:40,1042.4536944444442,1015.580611111111,-26.87308333333317,True
D,2025-01-03,6,69,11:40-11:50,1035.8180277777776,1011.7341388888885,-24.083888888889078,True
D,2025-01-03,6,70,11:50-12:00,979.8548666666666,958.560172222222,-21.29469444444453,True
D,2025-01-03,6,71,12:00-12:10,894.1671203703702,875.6616203703702,-18.505499999999984,True
D,2025-01-03,6,72,12:10-12:20,903.2058953703702,874.2844953703705,-28.92139999999972,True
D,2025-01-03,6,73,12:20-12:30,931.531527777778,892.1942277777779,-39.33730000000014,True
D,2025-01-03,6,74,12:30-12:40,970.907621296296,921.154421296296,-49.75319999999999,True
D,2025-01-03,6,75,12:40-12:50,1034.1486833333333,973.9795833333333,-60.16910000000007,True
D,2025-01-03,6,76,12:50-13:00,1082.3734638888889,1011.7884638888886,-70.58500000000026,True
D,2025-01-03,6,77,13:00-13:10,283.9720111111112,281.98127642770214,-1.9907346834090731,True
D,2025-01-03,6,79,13:20-13:30,0.0,177.87471296296417,177.87471296296417,True
D,2025-01-03,6,89,15:00-15:10,1309.3244907407407,1386.230774074074,76.90628333333325,True
D,2025-01-03,6,90,15:10-15:20,1390.3211370370368,1457.7454175925925,67.4242805555557,True
D,2025-01-03,6,91,15:20-15:30,1434.7549314814814,1492.6972092592594,57.94227777777792,True
D,2025-01-03,6,92,15:30-15:40,1453.6602611111111,1502.1205361111113,48.46027500000014,True
D,2025-01-03,6,93,15:40-15:50,1402.6817695346997,1573.518024074074,170.8362545393743,True
D,2025-01-03,6,94,15:50-16:00,770.5150351851854,800.0113046296299,29.496269444444465,True
D,2025-01-03,6,95,16:00-16:10,809.700475925926,829.7147425925926,20.014266666666686,True
