strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time
D,2025-04-28,12,6594.194022974356,3,3,32928.524206785914,0.019759200000407873,9.094947017729282e-13,1.1368683772161603e-13,115,2025-04-29 00:10:00
D,2025-04-28,18,10800.0,3,1,26735.16526093757,0.015863599997828715,9.094947017729282e-13,1.1368683772161603e-13,115,2025-04-29 00:10:00
D,2025-04-29,0,1780.0301644265473,3,9,29291.72165758935,0.023489799998060334,3.637978807091713e-12,1.2505552149377763e-12,116,
D,2025-04-29,6,6392.970616468884,3,6,31164.33026790945,0.01772319999872707,9.094947017729282e-13,1.1368683772161603e-13,116,2025-04-30 00:10:00
D,2025-04-29,12,6493.2808458676855,3,3,32088.005827756628,0.018590200001199264,1.8189894035458565e-12,9.094947017729282e-13,116,2025-04-30 00:10:00
D,2025-04-29,18,10800.0,3,1,29470.2614077934,0.01670410000224365,9.094947017729282e-13,1.1368683772161603e-13,116,2025-04-30 00:10:00
D,2025-04-30,0,1499.5788077756883,3,9,27909.173233902788,0.022962399998505134,1.8189894035458565e-12,2.2737367544323206e-12,117,
D,2025-04-30,6,6318.33415804985,3,6,30184.500106719446,0.019748700000491226,1.8189894035458565e-12,2.2737367544323206e-13,117,2025-05-01 00:10:00
D,2025-04-30,12,4728.285503482334,3,3,30572.370022727908,0.019030600000405684,9.094947017729282e-13,2.2737367544323206e-13,117,2025-05-01 00:10:00
D,2025-04-30,18,10800.0,3,1,25816.716148755706,0.016047600001911633,9.094947017729282e-13,2.2737367544323206e-13,117,2025-05-01 00:10:00
D,2025-05-01,0,1367.942426150995,3,9,29141.5931568369,0.023130800000217278,1.8189894035458565e-12,1.0231815394945443e-12,118,
D,2025-05-01,6,7558.855023928417,3,6,32655.00199324027,0.018297200000233715,9.094947017729282e-13,1.1368683772161603e-13,118,2025-05-02 00:10:00
D,2025-05-01,12,6845.031734207819,3,3,30396.41787052498,0.018686900002649054,9.094947017729282e-13,1.1368683772161603e-13,118,2025-05-02 00:10:00
D,2025-05-01,18,10520.790283586135,3,1,29719.38065728003,0.01794289999816101,1.8189894035458565e-12,1.1368683772161603e-13,118,2025-05-02 00:10:00
D,2025-05-02,0,1887.9959990803068,3,9,27388.111410204998,0.02812390000326559,1.8189894035458565e-12,1.2505552149377763e-12,119,
D,2025-05-02,6,10433.437540169683,3,6,25306.5916020409,0.017118799998570466,1.8189894035458565e-12,1.1368683772161603e-13,119,2025-05-03 00:10:00
D,2025-05-02,12,10800.0,3,3,18637.779084567966,0.01586680000036722,9.094947017729282e-13,1.1368683772161603e-13,119,2025-05-03 00:10:00
D,2025-05-02,18,9949.757854243064,3,1,17563.949105895976,0.014451999999437248,4.547473508864641e-13,5.684341886080802e-14,119,2025-05-03 00:10:00
D,2025-05-03,0,3288.696708799202,3,9,25160.911592222365,0.024679399997694418,1.8189894035458565e-12,6.821210263296962e-13,120,
D,2025-05-03,6,9992.700397138884,3,6,24546.19812973468,0.016496900003403425,9.094947017729282e-13,1.1368683772161603e-13,120,2025-05-04 00:10:00
D,2025-05-03,12,10800.0,3,3,20811.18565265703,0.017211099999258295,9.094947017729282e-13,1.1368683772161603e-13,120,2025-05-04 00:10:00
D,2025-05-03,18,9801.974598370176,3,1,18261.352655999606,0.015176299999438925,9.094947017729282e-13,1.1368683772161603e-13,120,2025-05-04 00:10:00
D,2025-05-04,0,3140.2085889078403,3,9,30470.70196589089,0.026612400000885827,1.8189894035458565e-12,1.0231815394945443e-12,121,
D,2025-05-04,6,7272.4029347854585,3,6,30916.23035700119,0.020578399999067187,9.094947017729282e-13,1.1368683772161603e-13,121,2025-05-05 00:10:00
D,2025-05-04,12,5590.910384194852,3,3,30517.16366787089,0.018171600000641774,1.8189894035458565e-12,1.1368683772161603e-13,121,2025-05-05 00:10:00
D,2025-05-04,18,10268.785622673795,3,1,34091.95945057182,0.016265000002022134,9.094947017729282e-13,1.1368683772161603e-13,121,2025-05-05 00:10:00
